Ano Calendário,Faixa de Salários-Mínimos,"Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços","Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec","Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente","Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS","Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos","Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel","Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital","Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00",Lucros e dividendos recebidos,"Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais","Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente em serviço","Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI)","Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados",Transferências patrimoniais - doações e heranças,Imposto sobre a renda de anos-calendário anteriores compensado judicialmente neste ano-calendário,"75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais",Incorporação de reservas ao capital / Bonificações em ações,Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar,"Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações","Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês","Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados","Rendimento bruto, até o máximo de 40%, da prestação de serviços decorrente do transporte de passageiros",Restituição de imposto sobre a renda de anos-calendário anteriores,Outros,Parcela isenta correspondente à atividade rural,"Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário)",Demais Rend. isentos e não-tributáveis dos dependentes,"Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)"
2017,De 15 a 20,"R$ 68.939.565,95","R$ 41.186.680,79","R$ 360.508.010,60","R$ 3.219.098.974,00","R$ 0,00","R$ 214.255.884,90","R$ 108.155.012,90","R$ 692.420,62","R$ 12.699.355.590,00","R$ 809.528.995,60","R$ 6.572.433.460,00","R$ 2.618.476.130,00","R$ 8.505.229.638,00","R$ 2.994.462.671,00","R$ 5.066.339,81","R$ 91.193.715,80","R$ 48.320.297,70","R$ 267.608.654,60","R$ 36.227.171,82","R$ 7.125.125,92","R$ 827.104.706,10","R$ 7.032.138,17","R$ 60.775.311,43","R$ 4.324.231.938,00","R$ 3.205.144.337,00","R$ 43.785.378,87","R$ 0,00","R$ 0,00"
2017,De 20 a 30,"R$ 41.742.587,18","R$ 25.780.818,92","R$ 546.887.859,70","R$ 4.920.475.392,00","R$ 0,00","R$ 338.445.714,50","R$ 203.143.072,60","R$ 659.659,71","R$ 21.438.127.470,00","R$ 838.138.410,40","R$ 10.870.493.880,00","R$ 3.513.387.206,00","R$ 11.669.405.410,00","R$ 4.899.496.515,00","R$ 9.414.678,95","R$ 268.123.224,20","R$ 87.807.318,02","R$ 493.005.678,00","R$ 47.683.996,10","R$ 11.067.533,21","R$ 917.731.310,20","R$ 7.074.472,74","R$ 89.250.266,79","R$ 6.042.003.971,00","R$ 3.905.420.988,00","R$ 65.839.396,03","R$ 0,00","R$ 0,00"
2017,De 30 a 40,"R$ 18.037.557,32","R$ 10.088.406,56","R$ 409.706.758,70","R$ 3.251.861.372,00","R$ 0,00","R$ 244.043.653,20","R$ 145.706.823,40","R$ 92.444,80","R$ 16.773.656.210,00","R$ 424.465.284,40","R$ 6.953.184.123,00","R$ 2.399.667.016,00","R$ 7.222.096.320,00","R$ 3.837.726.591,00","R$ 4.749.482,09","R$ 179.296.376,70","R$ 84.381.808,85","R$ 408.921.209,00","R$ 21.301.060,80","R$ 2.463.130,18","R$ 316.831.147,40","R$ 3.584.164,86","R$ 62.349.413,95","R$ 3.805.881.480,00","R$ 2.434.491.538,00","R$ 51.349.601,46","R$ 0,00","R$ 0,00"
2017,De 40 a 60,"R$ 18.239.666,43","R$ 6.967.083,83","R$ 593.459.170,80","R$ 3.551.837.124,00","R$ 0,00","R$ 78.834.079,27","R$ 201.148.625,80","R$ 284.849,60","R$ 24.566.339.660,00","R$ 359.026.664,10","R$ 3.472.016.709,00","R$ 3.099.405.648,00","R$ 8.522.743.614,00","R$ 5.733.624.094,00","R$ 5.583.882,67","R$ 197.164.864,50","R$ 178.413.991,60","R$ 681.205.625,30","R$ 23.468.216,66","R$ 4.313.334,99","R$ 223.753.382,20","R$ 3.636.036,42","R$ 74.764.774,45","R$ 4.243.369.402,00","R$ 3.055.050.857,00","R$ 80.928.665,20","R$ 0,00","R$ 0,00"
2017,De 60 a 80,"R$ 6.930.979,95","R$ 4.081.048,36","R$ 332.723.428,20","R$ 1.880.046.729,00","R$ 0,00","R$ 17.489.576,44","R$ 115.591.142,50","R$ 105.008,35","R$ 16.661.091.660,00","R$ 163.648.344,50","R$ 1.016.996.953,00","R$ 2.062.525.147,00","R$ 4.601.981.634,00","R$ 3.909.040.704,00","R$ 1.749.733,21","R$ 22.888.039,27","R$ 183.840.553,70","R$ 516.864.113,80","R$ 11.364.589,19","R$ 1.571.443,36","R$ 77.157.112,10","R$ 880.296,45","R$ 35.450.113,05","R$ 2.378.846.974,00","R$ 1.947.865.414,00","R$ 61.250.365,30","R$ 0,00","R$ 0,00"
2017,De 80 a 160,"R$ 13.260.436,63","R$ 21.736.364,16","R$ 756.564.892,70","R$ 2.230.691.494,00","R$ 0,00","R$ 15.567.713,85","R$ 197.859.425,00","R$ 1.426.672,68","R$ 37.587.507.650,00","R$ 215.054.879,50","R$ 676.707.696,40","R$ 4.365.930.460,00","R$ 6.228.052.127,00","R$ 9.432.629.899,00","R$ 6.598.739,98","R$ 7.649.275,12","R$ 524.995.177,40","R$ 1.207.620.785,00","R$ 16.718.736,98","R$ 2.236.212,50","R$ 52.494.655,40","R$ 91.471,24","R$ 41.744.763,46","R$ 3.935.768.103,00","R$ 4.238.682.425,00","R$ 154.475.271,60","R$ 0,00","R$ 0,00"
2017,De 160 a 240,"R$ 2.928.656,48","R$ 68.673.416,74","R$ 294.139.415,40","R$ 533.604.701,00","R$ 0,00","R$ 4.538.255,30","R$ 63.342.954,15","R$ 14.000,00","R$ 20.180.016.000,00","R$ 65.218.615,91","R$ 147.769.256,30","R$ 2.335.003.461,00","R$ 1.543.700.471,00","R$ 4.981.333.504,00","R$ 225.415,72","R$ 1.373.240,62","R$ 445.675.472,40","R$ 688.173.787,90","R$ 3.931.712,76","R$ 667.349,36","R$ 9.086.646,00","R$ 2.122.361,33","R$ 12.307.706,22","R$ 1.829.299.272,00","R$ 1.883.891.321,00","R$ 80.858.526,51","R$ 0,00","R$ 0,00"
2017,De 240 a 320,"R$ 39.590.854,95","R$ 467.133.759,10","R$ 194.697.616,90","R$ 219.237.348,10","R$ 0,00","R$ 736.158,39","R$ 32.465.510,41","R$ 1.138,91","R$ 13.330.074.510,00","R$ 29.341.247,87","R$ 71.214.673,88","R$ 1.577.180.969,00","R$ 586.978.131,30","R$ 3.152.505.480,00","R$ 5.007,47","R$ 0,00","R$ 347.481.346,80","R$ 422.210.901,00","R$ 2.364.639,66","R$ 251.599,74","R$ 7.517.069,63","R$ 0,00","R$ 7.433.260,53","R$ 1.210.532.956,00","R$ 1.003.846.065,00","R$ 48.896.214,43","R$ 0,00","R$ 0,00"
2017,Mais de 320,"R$ 6.558.003,11","R$ 53.859.895,45","R$ 1.151.838.596,00","R$ 560.388.352,30","R$ 0,00","R$ 5.742.885,70","R$ 237.196.829,30","R$ 57.241,59","R$ 83.071.230.960,00","R$ 67.695.952,94","R$ 324.532.343,50","R$ 14.911.417.930,00","R$ 893.903.327,20","R$ 55.370.619.530,00","R$ 0,00","R$ 10.134.832,05","R$ 9.026.668.927,00","R$ 3.758.954.344,00","R$ 6.941.362,10","R$ 866.923,23","R$ 15.529.822,55","R$ 146.322,00","R$ 30.067.198,21","R$ 10.311.159.540,00","R$ 4.860.961.862,00","R$ 416.756.096,00","R$ 0,00","R$ 0,00"
2016,Até 1/2,"R$ 35.339.081,06","R$ 10.598.875,38","R$ 6.320.485,77","R$ 762.780.461,00","R$ 0,00","R$ 374.225,60","R$ 469.195,34","R$ 570.284,88","R$ 234.498.964,00","R$ 92.294.172,90","R$ 48.890.751,65","R$ 2.778.147.933,00","R$ 281.011.404,30","R$ 9.978.686,98","R$ 746.626,88","R$ 74.253,04","R$ 3.055.212,13","R$ 385.925,54","R$ 6.596.359,29","R$ 463.447,46","R$ 1.655.803,15","R$ 8.559.096,95","R$ 301.211.404,20","R$ 4.985.104.342,00","R$ 31.987.642,95","R$ 1.346.097,47","R$ 0,00","R$ 0,00"
2016,De 1/2 a 1,"R$ 115.287.929,30","R$ 38.522.068,20","R$ 16.560.698,71","R$ 1.460.502.340,00","R$ 0,00","R$ 1.402.309,38","R$ 1.067.492,03","R$ 674.820,95","R$ 363.212.759,10","R$ 516.038.334,90","R$ 205.794.851,80","R$ 2.225.874.007,00","R$ 674.913.616,50","R$ 57.631.061,44","R$ 993.619,57","R$ 118.909,64","R$ 3.596.961,25","R$ 1.757.265,16","R$ 10.157.946,47","R$ 849.938,74","R$ 6.360.720,86","R$ 32.775.665,07","R$ 214.232.027,40","R$ 6.764.986.539,00","R$ 113.711.738,50","R$ 2.967.000,38","R$ 0,00","R$ 0,00"
2016,De 1 a 2,"R$ 296.165.008,60","R$ 70.373.833,16","R$ 69.642.076,36","R$ 2.751.718.683,00","R$ 0,00","R$ 6.303.723,27","R$ 3.042.427,27","R$ 1.342.576,76","R$ 1.211.867.646,00","R$ 6.244.643.090,00","R$ 1.122.679.739,00","R$ 3.241.740.734,00","R$ 2.612.094.103,00","R$ 335.374.391,40","R$ 2.058.869,06","R$ 508.748,05","R$ 8.033.589,44","R$ 9.806.378,61","R$ 21.146.446,57","R$ 2.883.600,34","R$ 37.842.799,68","R$ 275.898.363,30","R$ 248.567.865,60","R$ 8.103.862.806,00","R$ 510.956.591,00","R$ 8.181.192,71","R$ 0,00","R$ 0,00"
2016,De 2 a 3,"R$ 366.985.155,20","R$ 172.555.951,50","R$ 111.747.904,70","R$ 2.173.338.862,00","R$ 0,00","R$ 12.471.830,95","R$ 5.664.300,11","R$ 720.908,35","R$ 1.599.296.825,00","R$ 39.494.225.940,00","R$ 1.814.515.019,00","R$ 3.345.428.552,00","R$ 3.035.199.286,00","R$ 601.253.001,90","R$ 3.068.629,72","R$ 1.618.034,82","R$ 9.577.654,97","R$ 16.301.925,63","R$ 16.188.466,79","R$ 2.627.972,69","R$ 81.827.530,27","R$ 171.367.659,60","R$ 187.487.450,70","R$ 5.296.754.540,00","R$ 893.178.848,10","R$ 9.843.362,61","R$ 0,00","R$ 0,00"
2016,De 3 a 5,"R$ 574.632.726,90","R$ 591.005.425,90","R$ 256.535.609,90","R$ 3.483.245.351,00","R$ 0,00","R$ 35.812.464,13","R$ 18.390.169,01","R$ 974.681,05","R$ 4.004.104.303,00","R$ 8.492.673.168,00","R$ 4.066.540.301,00","R$ 5.263.458.916,00","R$ 6.191.994.209,00","R$ 2.169.887.891,00","R$ 5.941.955,79","R$ 4.724.148,19","R$ 24.478.029,80","R$ 59.024.697,75","R$ 27.068.380,63","R$ 5.194.027,35","R$ 317.548.255,80","R$ 163.674.301,40","R$ 210.133.323,20","R$ 7.185.830.332,00","R$ 2.659.085.872,00","R$ 20.122.854,40","R$ 0,00","R$ 0,00"
2016,De 5 a 7,"R$ 304.052.078,00","R$ 126.754.677,80","R$ 230.326.978,10","R$ 2.572.493.778,00","R$ 0,00","R$ 53.950.238,34","R$ 22.175.908,42","R$ 757.521,05","R$ 4.370.238.631,00","R$ 2.543.222.714,00","R$ 3.358.418.234,00","R$ 3.298.256.652,00","R$ 5.673.547.977,00","R$ 2.302.038.615,00","R$ 5.539.399,82","R$ 8.477.352,84","R$ 27.198.940,59","R$ 71.494.657,62","R$ 18.220.527,10","R$ 4.528.856,98","R$ 454.170.742,20","R$ 66.118.354,04","R$ 103.672.763,10","R$ 4.250.181.570,00","R$ 3.234.452.950,00","R$ 20.009.204,87","R$ 0,00","R$ 0,00"
2016,De 7 a 10,"R$ 289.509.424,80","R$ 130.534.729,60","R$ 312.339.752,90","R$ 2.917.730.887,00","R$ 0,00","R$ 108.390.703,00","R$ 53.599.041,35","R$ 763.701,75","R$ 7.467.189.072,00","R$ 1.784.862.736,00","R$ 4.144.653.372,00","R$ 3.279.978.876,00","R$ 7.663.897.411,00","R$ 2.395.340.536,00","R$ 5.792.394,90","R$ 16.792.873,55","R$ 48.332.960,14","R$ 122.933.151,10","R$ 21.418.861,22","R$ 7.066.063,87","R$ 752.641.349,60","R$ 32.941.020,53","R$ 87.371.814,45","R$ 4.726.084.630,00","R$ 4.775.969.036,00","R$ 27.355.116,07","R$ 0,00","R$ 0,00"
2016,De 10 a 15,"R$ 185.927.413,80","R$ 133.757.905,00","R$ 411.184.173,10","R$ 3.699.842.936,00","R$ 0,00","R$ 198.329.708,20","R$ 107.665.313,50","R$ 1.060.335,19","R$ 12.075.406.590,00","R$ 1.491.575.421,00","R$ 7.392.401.185,00","R$ 3.577.793.582,00","R$ 9.905.776.422,00","R$ 3.320.515.109,00","R$ 7.677.267,42","R$ 22.623.834,05","R$ 67.422.672,61","R$ 213.420.304,20","R$ 29.404.897,98","R$ 9.357.298,06","R$ 1.002.772.856,00","R$ 16.347.129,25","R$ 89.527.934,03","R$ 5.613.933.051,00","R$ 5.802.135.981,00","R$ 35.570.096,53","R$ 0,00","R$ 0,00"
2016,De 15 a 20,"R$ 68.929.945,51","R$ 30.681.054,24","R$ 336.114.580,50","R$ 2.811.917.402,00","R$ 0,00","R$ 198.683.205,80","R$ 119.335.250,30","R$ 382.356,94","R$ 11.587.272.220,00","R$ 804.483.453,20","R$ 5.775.533.634,00","R$ 2.450.150.925,00","R$ 7.899.569.744,00","R$ 2.832.098.183,00","R$ 3.485.111,42","R$ 42.536.349,90","R$ 70.674.408,50","R$ 223.641.359,20","R$ 23.211.879,97","R$ 6.761.884,56","R$ 683.581.166,70","R$ 7.710.603,59","R$ 56.998.045,51","R$ 3.908.359.303,00","R$ 3.443.875.374,00","R$ 29.064.348,11","R$ 0,00","R$ 0,00"
2016,De 20 a 30,"R$ 48.880.745,54","R$ 33.748.056,69","R$ 522.899.446,00","R$ 4.486.920.253,00","R$ 0,00","R$ 332.076.060,30","R$ 200.308.584,30","R$ 346.618,50","R$ 19.721.025.990,00","R$ 863.110.363,70","R$ 10.052.381.330,00","R$ 3.252.085.165,00","R$ 10.595.924.540,00","R$ 4.631.380.099,00","R$ 7.160.295,91","R$ 278.015.885,90","R$ 133.021.512,50","R$ 427.627.982,70","R$ 32.533.072,62","R$ 9.400.518,78","R$ 735.897.759,50","R$ 7.834.596,86","R$ 80.947.423,97","R$ 5.262.083.334,00","R$ 4.128.565.107,00","R$ 48.657.447,53","R$ 0,00","R$ 0,00"
2016,De 30 a 40,"R$ 23.096.001,84","R$ 10.815.625,58","R$ 361.876.161,00","R$ 2.809.690.761,00","R$ 0,00","R$ 242.300.538,50","R$ 153.064.293,70","R$ 352.280,16","R$ 15.793.261.400,00","R$ 430.926.856,50","R$ 5.834.442.492,00","R$ 2.200.231.192,00","R$ 6.635.847.639,00","R$ 3.685.302.846,00","R$ 5.442.816,42","R$ 219.042.335,20","R$ 120.881.681,50","R$ 362.051.172,90","R$ 16.778.192,25","R$ 1.567.262,62","R$ 271.490.572,40","R$ 4.213.213,39","R$ 55.833.189,13","R$ 3.407.924.052,00","R$ 2.509.838.548,00","R$ 43.610.816,18","R$ 0,00","R$ 0,00"
2016,De 40 a 60,"R$ 20.668.275,09","R$ 14.230.097,27","R$ 534.584.270,80","R$ 3.020.818.461,00","R$ 0,00","R$ 126.313.451,30","R$ 204.526.281,00","R$ 1.195.504,23","R$ 22.914.562.470,00","R$ 383.980.115,10","R$ 3.566.696.351,00","R$ 2.780.838.084,00","R$ 7.754.265.769,00","R$ 5.567.650.479,00","R$ 6.508.260,95","R$ 259.797.797,20","R$ 223.120.835,80","R$ 572.099.098,40","R$ 17.760.375,50","R$ 1.856.309,95","R$ 188.043.358,10","R$ 3.369.122,39","R$ 67.880.976,94","R$ 4.045.568.367,00","R$ 3.149.714.307,00","R$ 52.540.017,70","R$ 0,00","R$ 0,00"
2016,De 60 a 80,"R$ 7.910.440,94","R$ 3.021.449,52","R$ 316.216.111,60","R$ 1.512.957.089,00","R$ 0,00","R$ 25.742.816,38","R$ 131.342.757,70","R$ 140.861,25","R$ 15.690.724.190,00","R$ 166.393.769,90","R$ 1.054.300.821,00","R$ 1.770.614.913,00","R$ 4.098.685.583,00","R$ 3.891.931.506,00","R$ 2.154.511,93","R$ 86.284.016,82","R$ 219.295.745,60","R$ 427.093.649,80","R$ 10.084.294,94","R$ 830.789,82","R$ 57.155.766,79","R$ 2.473.809,03","R$ 31.361.551,62","R$ 2.173.954.309,00","R$ 2.072.170.113,00","R$ 42.286.795,61","R$ 0,00","R$ 0,00"
2016,De 80 a 160,"R$ 15.435.636,10","R$ 3.854.192,02","R$ 675.233.355,60","R$ 1.933.378.172,00","R$ 0,00","R$ 17.482.439,18","R$ 194.345.638,30","R$ 2.263.121,39","R$ 35.778.512.530,00","R$ 219.906.740,60","R$ 698.932.299,60","R$ 3.868.691.835,00","R$ 5.758.248.268,00","R$ 9.189.273.184,00","R$ 1.667.947,94","R$ 14.118.967,46","R$ 720.546.412,70","R$ 1.061.590.188,00","R$ 13.959.756,05","R$ 2.183.825,08","R$ 55.170.495,02","R$ 763.890,88","R$ 37.347.475,42","R$ 3.992.635.348,00","R$ 4.112.058.364,00","R$ 93.703.299,54","R$ 0,00","R$ 0,00"
2016,De 160 a 240,"R$ 6.830.424,50","R$ 14.779.855,99","R$ 283.384.827,90","R$ 379.835.203,90","R$ 0,00","R$ 6.009.434,59","R$ 79.000.032,57","R$ 2.261.906,92","R$ 18.875.792.350,00","R$ 66.590.624,02","R$ 190.631.385,30","R$ 2.091.961.302,00","R$ 1.450.949.734,00","R$ 4.950.365.217,00","R$ 121.154,73","R$ 2.287.907,47","R$ 517.026.850,30","R$ 635.246.368,40","R$ 4.932.628,10","R$ 883.176,67","R$ 5.985.846,73","R$ 3.520,00","R$ 10.205.279,54","R$ 1.715.917.763,00","R$ 1.924.593.803,00","R$ 62.945.273,59","R$ 0,00","R$ 0,00"
2016,De 240 a 320,"R$ 9.536.217,79","R$ 9.329.965,12","R$ 143.475.190,90","R$ 218.045.179,00","R$ 0,00","R$ 1.708.535,98","R$ 43.522.122,69","R$ 1.685,00","R$ 12.802.499.780,00","R$ 31.587.008,08","R$ 86.340.154,72","R$ 1.473.168.793,00","R$ 567.780.475,10","R$ 3.107.285.699,00","R$ 69.862,03","R$ 0,00","R$ 406.779.277,50","R$ 372.311.550,70","R$ 1.943.506,88","R$ 211.376,63","R$ 1.773.990,86","R$ 0,00","R$ 6.340.256,87","R$ 1.177.511.863,00","R$ 1.298.237.042,00","R$ 31.712.481,21","R$ 0,00","R$ 0,00"
2016,Mais de 320,"R$ 37.668.659,63","R$ 260.066.527,40","R$ 1.040.878.640,00","R$ 383.870.317,10","R$ 0,00","R$ 4.074.994,00","R$ 228.583.575,70","R$ 139.557,53","R$ 86.774.003.820,00","R$ 71.307.892,17","R$ 341.032.490,70","R$ 11.586.037.650,00","R$ 669.734.199,00","R$ 37.361.909.110,00","R$ 81.258,57","R$ 126.469,89","R$ 12.769.761.590,00","R$ 3.785.980.698,00","R$ 5.402.222,41","R$ 698.561,52","R$ 16.620.783,21","R$ 44.021,80","R$ 26.229.730,14","R$ 11.193.763.640,00","R$ 6.790.129.021,00","R$ 310.386.089,20","R$ 0,00","R$ 0,00"
2015,Todas,"R$ 2.993.564.779,00","R$ 1.781.685.478,00","R$ 4.813.671.525,00","R$ 31.322.387.470,00","R$ 35.180.906.580,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 258.620.326.600,00","R$ 56.673.574.460,00","R$ 41.869.369.570,00","R$ 41.578.335.570,00","R$ 75.360.482.000,00","R$ 88.665.478.240,00","R$ 63.032.082,77","R$ 900.945.712,70","R$ 27.499.586.430,00","R$ 8.611.348.256,00","R$ 273.197.525,70","R$ 57.265.388,13","R$ 4.386.940.512,00","R$ 804.836.622,70","R$ 2.019.747.913,00","R$ 83.136.259.460,00","R$ 42.196.073.740,00","R$ 394.673.229,70","R$ 0,00","R$ 2.655.447,25"
2014,Todas,"R$ 1.789.809.021,00","R$ 1.322.227.409,00","R$ 4.338.861.798,00","R$ 26.347.458.690,00","R$ 42.404.083.990,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 256.163.716.500,00","R$ 48.727.243.780,00","R$ 37.892.073.250,00","R$ 29.732.318.540,00","R$ 64.066.637.740,00","R$ 62.778.135.580,00","R$ 53.586.160,22","R$ 545.186.956,70","R$ 41.279.600.360,00","R$ 7.577.338.888,00","R$ 221.876.071,00","R$ 28.826.243,90","R$ 4.247.283.506,00","R$ 808.169.656,10","R$ 1.820.254.918,00","R$ 66.473.403.500,00","R$ 37.353.589.230,00","R$ 389.426.975,80","R$ 0,00","R$ 1.761.457,24"
2013,Todas,"R$ 2.263.775.790,00","R$ 744.325.459,40","R$ 3.752.602.338,00","R$ 23.208.259.740,00","R$ 44.129.219.010,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 231.302.356.100,00","R$ 42.929.660.750,00","R$ 33.554.232.600,00","R$ 20.686.583.710,00","R$ 55.989.124.190,00","R$ 51.410.205.550,00","R$ 57.089.162,31","R$ 602.255.090,30","R$ 15.941.260.210,00","R$ 8.031.229.039,00","R$ 331.927.353,10","R$ 54.136.264,68","R$ 3.397.697.868,00","R$ 718.946.518,00","R$ 1.608.951.468,00","R$ 58.118.976.760,00","R$ 33.046.565.970,00","R$ 289.671.559,50","R$ 0,00","R$ 2.209.184,52"
2012,Todas,"R$ 1.795.106.593,00","R$ 395.529.197,80","R$ 3.143.307.141,00","R$ 19.309.456.270,00","R$ 38.898.831.830,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 208.521.934.600,00","R$ 37.145.637.070,00","R$ 30.974.751.750,00","R$ 17.146.772.580,00","R$ 47.012.271.110,00","R$ 47.969.693.650,00","R$ 56.875.613,86","R$ 534.085.218,00","R$ 15.003.760.750,00","R$ 6.545.323.659,00","R$ 288.388.809,40","R$ 37.021.647,42","R$ 1.226.182.170,00","R$ 440.145.461,30","R$ 1.048.487.990,00","R$ 52.900.254.500,00","R$ 32.780.072.000,00","R$ 364.972.102,40","R$ 2.828.701.529,00","R$ 1.400.697,79"
2011,Todas,"R$ 1.848.233.467,00","R$ 0,00","R$ 2.855.414.804,00","R$ 16.740.267.570,00","R$ 36.199.124.020,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 192.564.292.400,00","R$ 32.952.637.360,00","R$ 28.446.793.310,00","R$ 16.150.877.900,00","R$ 37.013.771.470,00","R$ 54.172.508.980,00","R$ 68.415.392,23","R$ 554.593.437,60","R$ 15.944.522.650,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 51.384.448.200,00","R$ 30.253.823.790,00","R$ 0,00","R$ 3.607.342.834,00","R$ 0,00"
2010,Todas,"R$ 1.441.231.701,00","R$ 0,00","R$ 2.475.906.435,00","R$ 14.411.115.850,00","R$ 27.425.406.060,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 162.712.552.400,00","R$ 30.769.731.030,00","R$ 26.411.527.290,00","R$ 12.260.253.900,00","R$ 29.671.849.000,00","R$ 50.482.715.100,00","R$ 64.642.117,43","R$ 413.175.020,80","R$ 12.640.329.020,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 43.672.435.710,00","R$ 26.105.730.620,00","R$ 0,00","R$ 3.400.266.179,00","R$ 0,00"
2009,Todas,"R$ 1.199.031.783,00","R$ 0,00","R$ 2.308.364.793,00","R$ 14.717.211.640,00","R$ 19.914.474.940,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 133.282.529.500,00","R$ 27.866.649.720,00","R$ 24.401.172.090,00","R$ 10.452.911.660,00","R$ 22.851.738.050,00","R$ 46.426.383.690,00","R$ 84.243.832,82","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48.657.682.060,00","R$ 22.483.993.500,00","R$ 0,00","R$ 2.837.181.253,00","R$ 0,00"
2008,Todas,"R$ 1.030.120.228,00","R$ 0,00","R$ 2.213.204.219,00","R$ 12.928.048.940,00","R$ 19.677.220.030,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 129.843.900.700,00","R$ 26.229.184.420,00","R$ 22.638.779.390,00","R$ 9.349.752.137,00","R$ 19.876.025.640,00","R$ 48.137.487.390,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48.262.972.590,00","R$ 20.214.340.130,00","R$ 0,00","R$ 2.757.209.212,00","R$ 0,00"
2007,Todas,"R$ 491.034.750,40","R$ 0,00","R$ 983.433.100,80","R$ 9.136.082.259,00","R$ 8.475.155.332,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 102.650.381.200,00","R$ 8.592.146.432,00","R$ 12.762.362.640,00","R$ 4.152.146.332,00","R$ 4.831.698.857,00","R$ 22.822.578.740,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 25.855.851.730,00","R$ 8.272.250.757,00","R$ 0,00","R$ 1.964.465.410,00","R$ 0,00"